País,Puntuación,Fecha
Costa de Marfil,1478.47,28-11-2024
Venezuela,1475.71,28-11-2024
Qatar,1474.6,28-11-2024
Camerún,1471.49,28-11-2024
Chile,1469.44,28-11-2024
Mali,1466.1,28-11-2024
Túnez,1464.42,28-11-2024
Paraguay,1458.26,28-11-2024
Costa Rica,1454.99,28-11-2024
Eslovenia,1454.25,28-11-2024
Irak,1442.86,28-11-2024
Sudáfrica,1428.87,28-11-2024
Uzbekistán,1424.93,28-11-2024
Arabia Saudí,1406.56,28-11-2024
República de Irlanda,1400.22,28-11-2024
RD del Congo,1395.77,28-11-2024
Jamaica,1390.85,28-11-2024
Emiratos Árabes Unidos,1385.57,28-11-2024
Jordania,1375.91,28-11-2024
Albania,1375.57,28-11-2024
Burkina Faso,1373.76,28-11-2024
Macedonia del Norte,1368.96,28-11-2024
Georgia,1362.21,28-11-2024
Finlandia,1361.53,28-11-2024
Islandia,1355.1,28-11-2024
Irlanda del Norte,1349.58,28-11-2024
Cabo Verde,1328.51,28-11-2024
Montenegro,1326.76,28-11-2024
Bosnia y Herzegovina,1326.69,28-11-2024
Honduras,1325.93,28-11-2024
Israel,1322.25,28-11-2024
Ghana,1320.52,28-11-2024
Guinea,1311.88,28-11-2024
Bolivia,1308.58,28-11-2024
Omán,1306.67,28-11-2024
Baréin,1305.52,28-11-2024
Bulgaria,1301.04,28-11-2024
El Salvador,1300.81,28-11-2024
Gabón,1297.87,28-11-2024
Angola,1296.48,28-11-2024
Haití,1287.75,28-11-2024
Zambia,1279.24,28-11-2024
Uganda,1270.42,28-11-2024
Nueva Zelanda,1269.83,28-11-2024
RP China,1266.38,28-11-2024
Curazao,1264.78,28-11-2024
Luxemburgo,1256.42,28-11-2024
Guinea Ecuatorial,1256.2,28-11-2024
Benín,1250.99,28-11-2024
Siria,1249.47,28-11-2024
Mozambique,1232.7,28-11-2024
Tailandia,1228.24,28-11-2024
Bielorrusia,1226.31,28-11-2024
Kosovo,1219.82,28-11-2024
Armenia,1219.15,28-11-2024
Palestina,1215.87,28-11-2024
Trinidad y Tobago,1214.81,28-11-2024
Comoras,1208.99,28-11-2024
Tayikistán,1203.08,28-11-2024
Guatemala,1201.35,28-11-2024
Tanzania,1199.33,28-11-2024
República Kirguisa,1194.19,28-11-2024
Kenia,1189.65,28-11-2024
Mauritania,1183.16,28-11-2024
Kazajstán,1180.18,28-11-2024
Namibia,1179.26,28-11-2024
Líbano,1168.1,28-11-2024
Sudán,1165.41,28-11-2024
RDP de Corea,1164.41,28-11-2024
Madagascar,1162.02,28-11-2024
Vietnam,1161.11,28-11-2024
Azerbaiyán,1158.7,28-11-2024
Libia,1158.03,28-11-2024
Togo,1152.18,28-11-2024
Guinea-Bissáu,1151.72,28-11-2024
Zimbabue,1151.06,28-11-2024
Níger,1145.96,28-11-2024
Estonia,1142.53,28-11-2024
Ruanda,1136.06,28-11-2024
Indonesia,1135.11,28-11-2024
Gambia,1134.69,28-11-2024
India,1133.62,28-11-2024
Congo,1132.65,28-11-2024
Sierra Leona,1132.06,28-11-2024
Chipre,1131.32,28-11-2024
Malaui,1129.31,28-11-2024
Malasia,1117.05,28-11-2024
Nicaragua,1114.28,28-11-2024
Kuwait,1109.16,28-11-2024
República Centroafricana,1102.23,28-11-2024
Botsuana,1098.85,28-11-2024
Islas Feroe,1096.88,28-11-2024
Surinam,1096.6,28-11-2024
Burundi,1087.26,28-11-2024
Letonia,1084.11,28-11-2024
República Dominicana,1083.36,28-11-2024
Lituania,1069.96,28-11-2024
Turkmenistán,1065.42,28-11-2024
San Cristóbal y Nieves,1064.99,28-11-2024
Liberia,1063.04,28-11-2024
Etiopía,1059.94,28-11-2024
Fiyi,1049.15,28-11-2024
Islas Salomón,1048.75,28-11-2024
Filipinas,1047.73,28-11-2024
Lesoto,1046.76,28-11-2024
Moldavia,1045.59,28-11-2024
Nueva Caledonia,1034.43,28-11-2024
Tahití,1031.47,28-11-2024
Guyana,1030.6,28-11-2024
Afganistán,1025.0,28-11-2024
"Hong Kong, China",1024.58,28-11-2024
Puerto Rico,1022.83,28-11-2024
Yemen,1017.84,28-11-2024
Esuatini,1015.25,28-11-2024
Antigua y Barbuda,1010.97,28-11-2024
Singapur,1007.83,28-11-2024
Maldivas,1001.39,28-11-2024
Vanuatu,996.21,28-11-2024
Cuba,994.43,28-11-2024
Chinese Taipei,990.92,28-11-2024
Bermudas,988.19,28-11-2024
Myanmar,986.15,28-11-2024
Santa Lucía,985.72,28-11-2024
Malta,983.95,28-11-2024
Sudán del Sur,973.55,28-11-2024
Andorra,971.54,28-11-2024
Papúa Nueva Guinea,963.22,28-11-2024
San Vicente y las Granadinas,961.92,28-11-2024
Granada,955.44,28-11-2024
Nepal,939.2,28-11-2024
Chad,935.41,28-11-2024
Barbados,933.3,28-11-2024
Belice,925.02,28-11-2024
Mauricio,923.46,28-11-2024
Camboya,921.2,28-11-2024
Montserrat,914.26,28-11-2024
Bután,904.06,28-11-2024
Dominica,900.0,28-11-2024
Brunéi Darussalam,899.87,28-11-2024
Bangladesh,898.81,28-11-2024
Laos,889.54,28-11-2024
Mongolia,883.57,28-11-2024
Samoa Estadounidense,883.17,28-11-2024
Santo Tomé y Príncipe,878.09,28-11-2024
Islas Cook,877.53,28-11-2024
Yibuti,877.37,28-11-2024
Samoa,876.41,28-11-2024
Macao,871.52,28-11-2024
Islas Caimán,866.71,28-11-2024
Aruba,858.0,28-11-2024
Timor Oriental,850.83,28-11-2024
Gibraltar,848.58,28-11-2024
Pakistán,842.59,28-11-2024
Tonga,835.64,28-11-2024
Sri Lanka,832.8,28-11-2024
Seychelles,831.19,28-11-2024
Somalia,829.81,28-11-2024
Guam,821.91,28-11-2024
Liechtenstein,821.71,28-11-2024
Bahamas,818.58,28-11-2024
Turcas y Caicos,803.98,28-11-2024
Islas Vírgenes Británicas,780.3,28-11-2024
Islas Vírgenes Estadounidenses,779.71,28-11-2024
Anguila,769.31,28-11-2024
San Marino,747.42,28-11-2024
Argentina,1883.5,24-10-2024
Francia,1859.85,24-10-2024
España,1844.33,24-10-2024
Inglaterra,1807.83,24-10-2024
Brasil,1784.37,24-10-2024
Bélgica,1761.27,24-10-2024
Portugal,1752.68,24-10-2024
Países Bajos,1748.24,24-10-2024
Italia,1729.4,24-10-2024
Colombia,1724.37,24-10-2024
Alemania,1703.59,24-10-2024
Croacia,1701.36,24-10-2024
Marruecos,1681.57,24-10-2024
Uruguay,1680.36,24-10-2024
Japón,1645.09,24-10-2024
México,1640.67,24-10-2024
Suiza,1631.38,24-10-2024
EEUU,1630.97,24-10-2024
RI de Irán,1627.58,24-10-2024
Senegal,1627.13,24-10-2024
Dinamarca,1617.34,24-10-2024
República de Corea,1589.93,24-10-2024
Austria,1589.17,24-10-2024
Australia,1552.77,24-10-2024
Ucrania,1552.37,24-10-2024
Turquía,1548.15,24-10-2024
Ecuador,1536.32,24-10-2024
Suecia,1530.41,24-10-2024
Gales,1528.96,24-10-2024
Egipto,1526.25,24-10-2024
Polonia,1523.19,24-10-2024
Hungría,1519.33,24-10-2024
Serbia,1511.16,24-10-2024
Rusia,1508.73,24-10-2024
Canadá,1507.27,24-10-2024
Nigeria,1503.29,24-10-2024
Argelia,1496.94,24-10-2024
Perú,1494.24,24-10-2024
Panamá,1493.8,24-10-2024
Costa de Marfil,1493.57,24-10-2024
Eslovaquia,1489.88,24-10-2024
Grecia,1487.42,24-10-2024
Rumanía,1487.22,24-10-2024
Venezuela,1482.47,24-10-2024
República Checa,1480.39,24-10-2024
Qatar,1478.6,24-10-2024
Túnez,1478.52,24-10-2024
Noruega,1473.5,24-10-2024
Camerún,1472.12,24-10-2024
Costa Rica,1465.57,24-10-2024
Escocia,1461.34,24-10-2024
Eslovenia,1459.59,24-10-2024
Chile,1455.22,24-10-2024
Mali,1454.84,24-10-2024
Paraguay,1440.78,24-10-2024
Irak,1434.4,24-10-2024
RD del Congo,1431.3,24-10-2024
Uzbekistán,1429.26,24-10-2024
Arabia Saudí,1422.67,24-10-2024
Sudáfrica,1415.98,24-10-2024
Jamaica,1405.36,24-10-2024
Burkina Faso,1399.8,24-10-2024
República de Irlanda,1395.61,24-10-2024
Jordania,1380.75,24-10-2024
Albania,1379.29,24-10-2024
Finlandia,1374.58,24-10-2024
Georgia,1365.56,24-10-2024
Emiratos Árabes Unidos,1361.34,24-10-2024
Macedonia del Norte,1361.01,24-10-2024
Islandia,1353.18,24-10-2024
Irlanda del Norte,1345.06,24-10-2024
Cabo Verde,1340.87,24-10-2024
Ghana,1338.73,24-10-2024
Bosnia y Herzegovina,1324.43,24-10-2024
Montenegro,1323.2,24-10-2024
Baréin,1313.8,24-10-2024
Honduras,1312.66,24-10-2024
Guinea,1312.45,24-10-2024
Bolivia,1312.36,24-10-2024
Omán,1305.99,24-10-2024
Israel,1303.65,24-10-2024
Angola,1298.75,24-10-2024
El Salvador,1297.99,24-10-2024
Bulgaria,1295.11,24-10-2024
Gabón,1294.11,24-10-2024
Haití,1283.67,24-10-2024
Uganda,1269.79,24-10-2024
Guinea Ecuatorial,1266.68,24-10-2024
Luxemburgo,1262.08,24-10-2024
Curazao,1260.87,24-10-2024
Nueva Zelanda,1258.11,24-10-2024
RP China,1257.29,24-10-2024
Siria,1252.19,24-10-2024
Zambia,1251.84,24-10-2024
Benín,1250.97,24-10-2024
Tailandia,1231.75,24-10-2024
Bielorrusia,1231.1,24-10-2024
Mozambique,1229.01,24-10-2024
Armenia,1222.74,24-10-2024
Palestina,1218.43,24-10-2024
Kosovo,1218.22,24-10-2024
Trinidad y Tobago,1214.81,24-10-2024
República Kirguisa,1207.08,24-10-2024
Guatemala,1201.35,24-10-2024
Tayikistán,1196.98,24-10-2024
Kenia,1195.36,24-10-2024
Kazajstán,1186.46,24-10-2024
Comoras,1185.98,24-10-2024
Madagascar,1180.0,24-10-2024
Sudán,1176.2,24-10-2024
RDP de Corea,1175.14,24-10-2024
Tanzania,1173.84,24-10-2024
Namibia,1173.81,24-10-2024
Mauritania,1168.44,24-10-2024
Líbano,1167.49,24-10-2024
Guinea-Bissáu,1166.34,24-10-2024
Zimbabue,1162.48,24-10-2024
Azerbaiyán,1161.8,24-10-2024
Vietnam,1161.11,24-10-2024
Congo,1159.42,24-10-2024
Sierra Leona,1149.81,24-10-2024
Libia,1148.7,24-10-2024
Togo,1147.91,24-10-2024
Estonia,1145.52,24-10-2024
India,1133.78,24-10-2024
Ruanda,1130.04,24-10-2024
Chipre,1127.51,24-10-2024
Gambia,1125.62,24-10-2024
República Centroafricana,1125.26,24-10-2024
Indonesia,1118.87,24-10-2024
Níger,1114.73,24-10-2024
Nicaragua,1114.28,24-10-2024
Malasia,1113.92,24-10-2024
Malaui,1111.16,24-10-2024
Kuwait,1106.42,24-10-2024
Surinam,1105.29,24-10-2024
Letonia,1093.82,24-10-2024
Islas Feroe,1091.52,24-10-2024
Burundi,1089.49,24-10-2024
Botsuana,1088.45,24-10-2024
Lituania,1082.36,24-10-2024
República Dominicana,1071.88,24-10-2024
San Cristóbal y Nieves,1069.25,24-10-2024
Turkmenistán,1065.42,24-10-2024
Filipinas,1053.09,24-10-2024
Fiyi,1051.41,24-10-2024
Islas Salomón,1050.99,24-10-2024
Etiopía,1049.28,24-10-2024
Liberia,1048.86,24-10-2024
Moldavia,1040.83,24-10-2024
Afganistán,1034.37,24-10-2024
Lesoto,1032.79,24-10-2024
Puerto Rico,1021.62,24-10-2024
Yemen,1021.24,24-10-2024
Nueva Caledonia,1020.83,24-10-2024
Antigua y Barbuda,1020.58,24-10-2024
Vanuatu,1015.52,24-10-2024
"Hong Kong, China",1015.1,24-10-2024
Tahití,1009.52,24-10-2024
Esuatini,1009.19,24-10-2024
Guyana,1008.68,24-10-2024
Singapur,1008.26,24-10-2024
Maldivas,1003.48,24-10-2024
Santa Lucía,997.86,24-10-2024
Myanmar,990.98,24-10-2024
Cuba,990.18,24-10-2024
Bermudas,986.53,24-10-2024
Chinese Taipei,985.66,24-10-2024
Malta,980.5,24-10-2024
Andorra,977.96,24-10-2024
Papúa Nueva Guinea,972.32,24-10-2024
Sudán del Sur,955.67,24-10-2024
Barbados,955.21,24-10-2024
San Vicente y las Granadinas,954.86,24-10-2024
Granada,947.22,24-10-2024
Nepal,935.93,24-10-2024
Chad,933.39,24-10-2024
Mauricio,927.57,24-10-2024
Belice,925.02,24-10-2024
Montserrat,924.14,24-10-2024
Camboya,921.2,24-10-2024
Bután,904.06,24-10-2024
Dominica,903.54,24-10-2024
Brunéi Darussalam,900.75,24-10-2024
Bangladesh,896.71,24-10-2024
Samoa,890.77,24-10-2024
Laos,889.62,24-10-2024
Mongolia,883.57,24-10-2024
Samoa Estadounidense,883.17,24-10-2024
Santo Tomé y Príncipe,878.09,24-10-2024
Islas Cook,877.53,24-10-2024
Yibuti,875.13,24-10-2024
Macao,871.52,24-10-2024
Islas Caimán,866.71,24-10-2024
Aruba,863.29,24-10-2024
Timor Oriental,850.83,24-10-2024
Gibraltar,848.32,24-10-2024
Pakistán,842.59,24-10-2024
Tonga,835.64,24-10-2024
Liechtenstein,834.15,24-10-2024
Seychelles,831.19,24-10-2024
Somalia,829.81,24-10-2024
Sri Lanka,829.39,24-10-2024
Guam,821.91,24-10-2024
Bahamas,818.58,24-10-2024
Turcas y Caicos,803.98,24-10-2024
Islas Vírgenes Británicas,780.3,24-10-2024
Islas Vírgenes Estadounidenses,779.71,24-10-2024
Anguila,769.31,24-10-2024
San Marino,737.04,24-10-2024
Argentina,1889.02,19-09-2024
Francia,1851.92,19-09-2024
España,1836.42,19-09-2024
Inglaterra,1817.28,19-09-2024
Brasil,1772.02,19-09-2024
Bélgica,1768.14,19-09-2024
Países Bajos,1759.95,19-09-2024
Portugal,1752.14,19-09-2024
Colombia,1738.72,19-09-2024
Italia,1726.31,19-09-2024
Uruguay,1701.34,19-09-2024
Croacia,1699.6,19-09-2024
Alemania,1692.19,19-09-2024
Marruecos,1676.14,19-09-2024
Suiza,1641.0,19-09-2024
Japón,1639.6,19-09-2024
México,1635.66,19-09-2024
EEUU,1632.19,19-09-2024
RI de Irán,1622.92,19-09-2024
Dinamarca,1621.7,19-09-2024
Senegal,1620.87,19-09-2024
Austria,1580.37,19-09-2024
República de Corea,1572.61,19-09-2024
Ucrania,1548.29,19-09-2024
Australia,1544.3,19-09-2024
Turquía,1538.52,19-09-2024
Ecuador,1535.43,19-09-2024
Suecia,1528.18,19-09-2024
Gales,1526.53,19-09-2024
Polonia,1525.08,19-09-2024
Egipto,1515.64,19-09-2024
Hungría,1511.06,19-09-2024
Costa de Marfil,1509.12,19-09-2024
Rusia,1508.73,19-09-2024
Serbia,1505.08,19-09-2024
Túnez,1504.86,19-09-2024
Panamá,1502.55,19-09-2024
Canadá,1502.31,19-09-2024
Nigeria,1498.02,19-09-2024
Venezuela,1488.56,19-09-2024
Argelia,1486.03,19-09-2024
Eslovaquia,1485.89,19-09-2024
Perú,1483.2,19-09-2024
Qatar,1481.69,19-09-2024
Rumanía,1481.4,19-09-2024
República Checa,1473.19,19-09-2024
Noruega,1472.16,19-09-2024
Grecia,1469.18,19-09-2024
Chile,1467.98,19-09-2024
Costa Rica,1466.08,19-09-2024
Eslovenia,1462.98,19-09-2024
Escocia,1461.75,19-09-2024
Camerún,1458.51,19-09-2024
Mali,1455.16,19-09-2024
Irak,1435.9,19-09-2024
Arabia Saudí,1433.16,19-09-2024
Paraguay,1423.98,19-09-2024
RD del Congo,1416.91,19-09-2024
Sudáfrica,1415.07,19-09-2024
Uzbekistán,1413.06,19-09-2024
Jamaica,1402.95,19-09-2024
República de Irlanda,1394.63,19-09-2024
Burkina Faso,1387.5,19-09-2024
Finlandia,1384.36,19-09-2024
Cabo Verde,1379.17,19-09-2024
Georgia,1378.22,19-09-2024
Albania,1377.91,19-09-2024
Jordania,1377.52,19-09-2024
Emiratos Árabes Unidos,1377.22,19-09-2024
Ghana,1360.43,19-09-2024
Islandia,1355.75,19-09-2024
Macedonia del Norte,1351.18,19-09-2024
Irlanda del Norte,1339.64,19-09-2024
Montenegro,1332.68,19-09-2024
Bosnia y Herzegovina,1332.39,19-09-2024
Baréin,1315.49,19-09-2024
Honduras,1311.3,19-09-2024
Omán,1309.27,19-09-2024
Israel,1307.8,19-09-2024
El Salvador,1307.04,19-09-2024
Bulgaria,1302.68,19-09-2024
Guinea,1298.3,19-09-2024
Bolivia,1293.76,19-09-2024
Gabón,1292.88,19-09-2024
Angola,1281.09,19-09-2024
Haití,1278.56,19-09-2024
Luxemburgo,1261.95,19-09-2024
Curazao,1261.38,19-09-2024
Benín,1257.69,19-09-2024
Uganda,1257.64,19-09-2024
RP China,1253.77,19-09-2024
Siria,1252.91,19-09-2024
Zambia,1252.79,19-09-2024
Guinea Ecuatorial,1250.57,19-09-2024
Nueva Zelanda,1247.08,19-09-2024
Armenia,1230.43,19-09-2024
Bielorrusia,1229.07,19-09-2024
Palestina,1228.99,19-09-2024
Mozambique,1226.03,19-09-2024
Tailandia,1223.06,19-09-2024
Trinidad y Tobago,1213.25,19-09-2024
Kenia,1208.96,19-09-2024
Tayikistán,1208.01,19-09-2024
Kosovo,1205.96,19-09-2024
Namibia,1201.3,19-09-2024
República Kirguisa,1201.11,19-09-2024
Guatemala,1200.43,19-09-2024
Madagascar,1196.56,19-09-2024
Kazajstán,1193.21,19-09-2024
Tanzania,1188.24,19-09-2024
RDP de Corea,1183.02,19-09-2024
Mauritania,1179.04,19-09-2024
Azerbaiyán,1173.15,19-09-2024
Líbano,1167.49,19-09-2024
Guinea-Bissáu,1166.02,19-09-2024
Vietnam,1161.38,19-09-2024
Congo,1160.33,19-09-2024
Comoras,1159.64,19-09-2024
Togo,1158.81,19-09-2024
Sudán,1154.5,19-09-2024
Libia,1153.97,19-09-2024
Estonia,1140.39,19-09-2024
Chipre,1137.06,19-09-2024
Zimbabue,1134.99,19-09-2024
Sierra Leona,1134.26,19-09-2024
India,1133.52,19-09-2024
Níger,1132.39,19-09-2024
República Centroafricana,1130.7,19-09-2024
Indonesia,1124.17,19-09-2024
Ruanda,1123.32,19-09-2024
Nicaragua,1118.04,19-09-2024
Malasia,1117.64,19-09-2024
Malaui,1117.42,19-09-2024
Kuwait,1111.62,19-09-2024
Gambia,1109.05,19-09-2024
Burundi,1101.79,19-09-2024
Letonia,1097.98,19-09-2024
Surinam,1094.39,19-09-2024
Lituania,1090.89,19-09-2024
Islas Feroe,1089.51,19-09-2024
San Cristóbal y Nieves,1068.25,19-09-2024
Turkmenistán,1065.42,19-09-2024
Liberia,1064.97,19-09-2024
Islas Salomón,1064.11,19-09-2024
Etiopía,1063.44,19-09-2024
República Dominicana,1057.75,19-09-2024
Botsuana,1050.15,19-09-2024
Filipinas,1050.03,19-09-2024
Moldavia,1042.81,19-09-2024
Fiyi,1038.29,19-09-2024
Antigua y Barbuda,1034.71,19-09-2024
Afganistán,1034.37,19-09-2024
Lesoto,1034.02,19-09-2024
Puerto Rico,1021.62,19-09-2024
Yemen,1021.24,19-09-2024
Guyana,1019.99,19-09-2024
"Hong Kong, China",1017.66,19-09-2024
Tahití,1016.83,19-09-2024
Esuatini,1012.17,19-09-2024
Nueva Caledonia,1008.92,19-09-2024
Singapur,1008.26,19-09-2024
Vanuatu,1005.49,19-09-2024
Maldivas,1003.48,19-09-2024
Santa Lucía,997.86,19-09-2024
Cuba,991.73,19-09-2024
Chinese Taipei,991.34,19-09-2024
Myanmar,988.98,19-09-2024
Papúa Nueva Guinea,984.23,19-09-2024
Andorra,981.7,19-09-2024
Bermudas,973.34,19-09-2024
Malta,971.89,19-09-2024
Sudán del Sur,967.83,19-09-2024
Granada,946.7,19-09-2024
San Vicente y las Granadinas,945.8,19-09-2024
Barbados,944.1,19-09-2024
Nepal,935.93,19-09-2024
Chad,932.44,19-09-2024
Mauricio,927.57,19-09-2024
Montserrat,924.14,19-09-2024
Camboya,919.7,19-09-2024
Dominica,916.73,19-09-2024
Belice,913.42,19-09-2024
Brunéi Darussalam,906.83,19-09-2024
Bután,904.06,19-09-2024
Samoa,900.79,19-09-2024
Bangladesh,896.71,19-09-2024
Laos,889.62,19-09-2024
Mongolia,883.57,19-09-2024
Samoa Estadounidense,883.17,19-09-2024
Santo Tomé y Príncipe,878.09,19-09-2024
Islas Cook,877.53,19-09-2024
Yibuti,875.13,19-09-2024
Macao,871.52,19-09-2024
Aruba,868.4,19-09-2024
Islas Caimán,857.37,19-09-2024
Timor Oriental,844.75,19-09-2024
Pakistán,842.59,19-09-2024
Gibraltar,842.4,19-09-2024
Tonga,835.64,19-09-2024
Sri Lanka,831.39,19-09-2024
Seychelles,831.19,19-09-2024
Somalia,829.81,19-09-2024
Liechtenstein,827.19,19-09-2024
Guam,821.91,19-09-2024
Bahamas,817.25,19-09-2024
Turcas y Caicos,802.81,19-09-2024
Islas Vírgenes Estadounidenses,792.15,19-09-2024
Islas Vírgenes Británicas,790.63,19-09-2024
Anguila,782.08,19-09-2024
San Marino,746.05,19-09-2024
Argentina,1901.48,18-07-2024
Francia,1854.91,18-07-2024
España,1835.67,18-07-2024
Inglaterra,1812.26,18-07-2024
Brasil,1785.61,18-07-2024
Bélgica,1772.44,18-07-2024
Países Bajos,1758.51,18-07-2024
Portugal,1741.43,18-07-2024
Colombia,1727.32,18-07-2024
Italia,1714.29,18-07-2024
Uruguay,1713.15,18-07-2024
Croacia,1701.31,18-07-2024
Alemania,1686.02,18-07-2024
Marruecos,1669.44,18-07-2024
Suiza,1654.1,18-07-2024
EEUU,1641.75,18-07-2024
México,1635.11,18-07-2024
Japón,1628.81,18-07-2024
Senegal,1623.34,18-07-2024
RI de Irán,1611.16,18-07-2024
Dinamarca,1607.52,18-07-2024
Austria,1591.56,18-07-2024
República de Corea,1572.87,18-07-2024
Australia,1571.29,18-07-2024
Ucrania,1567.25,18-07-2024
Turquía,1533.6,18-07-2024
Ecuador,1530.44,18-07-2024
Polonia,1523.53,18-07-2024
Suecia,1522.19,18-07-2024
Gales,1521.4,18-07-2024
Hungría,1518.77,18-07-2024
Serbia,1506.9,18-07-2024
Rusia,1506.58,18-07-2024
Qatar,1504.06,18-07-2024
Panamá,1502.55,18-07-2024
Egipto,1502.34,18-07-2024
Venezuela,1501.46,18-07-2024
Costa de Marfil,1499.69,18-07-2024
Nigeria,1498.93,18-07-2024
Canadá,1494.66,18-07-2024
Túnez,1494.06,18-07-2024
Perú,1489.68,18-07-2024
Chile,1489.5,18-07-2024
Eslovaquia,1479.07,18-07-2024
Rumanía,1474.7,18-07-2024
Argelia,1474.13,18-07-2024
República Checa,1473.46,18-07-2024
Escocia,1472.3,18-07-2024
Costa Rica,1469.69,18-07-2024
Noruega,1466.48,18-07-2024
Camerún,1458.47,18-07-2024
Eslovenia,1457.06,18-07-2024
Mali,1456.74,18-07-2024
Grecia,1455.95,18-07-2024
Irak,1433.07,18-07-2024
Arabia Saudí,1431.3,18-07-2024
Sudáfrica,1415.15,18-07-2024
República de Irlanda,1403.84,18-07-2024
Jamaica,1401.56,18-07-2024
RD del Congo,1400.93,18-07-2024
Uzbekistán,1397.41,18-07-2024
Paraguay,1396.8,18-07-2024
Finlandia,1393.4,18-07-2024
Ghana,1381.25,18-07-2024
Cabo Verde,1380.53,18-07-2024
Albania,1375.49,18-07-2024
Burkina Faso,1375.16,18-07-2024
Jordania,1374.13,18-07-2024
Emiratos Árabes Unidos,1368.84,18-07-2024
Georgia,1361.41,18-07-2024
Islandia,1353.48,18-07-2024
Macedonia del Norte,1348.63,18-07-2024
Montenegro,1345.02,18-07-2024
Irlanda del Norte,1341.33,18-07-2024
Bosnia y Herzegovina,1332.3,18-07-2024
Omán,1326.18,18-07-2024
Guinea,1324.8,18-07-2024
Israel,1312.54,18-07-2024
Honduras,1311.48,18-07-2024
Baréin,1302.86,18-07-2024
El Salvador,1302.11,18-07-2024
Bulgaria,1295.5,18-07-2024
Gabón,1288.45,18-07-2024
Luxemburgo,1276.73,18-07-2024
Haití,1274.46,18-07-2024
Curazao,1272.71,18-07-2024
RP China,1267.51,18-07-2024
Guinea Ecuatorial,1260.5,18-07-2024
Bolivia,1258.56,18-07-2024
Angola,1255.65,18-07-2024
Benín,1254.18,18-07-2024
Zambia,1249.54,18-07-2024
Siria,1246.68,18-07-2024
Nueva Zelanda,1245.73,18-07-2024
Uganda,1242.96,18-07-2024
Palestina,1231.25,18-07-2024
Armenia,1230.79,18-07-2024
Namibia,1221.42,18-07-2024
Bielorrusia,1219.78,18-07-2024
Trinidad y Tobago,1219.44,18-07-2024
Tailandia,1218.56,18-07-2024
República Kirguisa,1213.58,18-07-2024
Tayikistán,1212.41,18-07-2024
Mozambique,1208.87,18-07-2024
Madagascar,1203.66,18-07-2024
Kosovo,1203.16,18-07-2024
Guatemala,1198.84,18-07-2024
Kenia,1197.73,18-07-2024
Kazajstán,1193.62,18-07-2024
RDP de Corea,1183.96,18-07-2024
Azerbaiyán,1179.88,18-07-2024
Mauritania,1177.5,18-07-2024
Tanzania,1174.99,18-07-2024
Guinea-Bissáu,1168.49,18-07-2024
Vietnam,1168.02,18-07-2024
Líbano,1167.64,18-07-2024
Libia,1165.73,18-07-2024
Congo,1162.73,18-07-2024
Comoras,1159.84,18-07-2024
Togo,1158.7,18-07-2024
Sudán,1152.29,18-07-2024
Sierra Leona,1149.4,18-07-2024
Estonia,1146.47,18-07-2024
India,1139.39,18-07-2024
Níger,1139.21,18-07-2024
Malaui,1137.83,18-07-2024
Chipre,1136.78,18-07-2024
República Centroafricana,1129.3,18-07-2024
Zimbabue,1126.15,18-07-2024
Nicaragua,1119.88,18-07-2024
Ruanda,1114.15,18-07-2024
Gambia,1112.55,18-07-2024
Indonesia,1108.73,18-07-2024
Malasia,1107.58,18-07-2024
Lituania,1100.66,18-07-2024
Kuwait,1098.42,18-07-2024
Letonia,1095.98,18-07-2024
Islas Feroe,1093.7,18-07-2024
Burundi,1091.24,18-07-2024
Surinam,1087.77,18-07-2024
Islas Salomón,1075.06,18-07-2024
Liberia,1067.05,18-07-2024
Etiopía,1066.16,18-07-2024
Turkmenistán,1065.42,18-07-2024
Botsuana,1063.64,18-07-2024
San Cristóbal y Nieves,1059.53,18-07-2024
Filipinas,1053.03,18-07-2024
Antigua y Barbuda,1052.8,18-07-2024
Lesoto,1046.54,18-07-2024
República Dominicana,1045.64,18-07-2024
Afganistán,1034.37,18-07-2024
Moldavia,1033.75,18-07-2024
Fiyi,1033.09,18-07-2024
Guyana,1026.61,18-07-2024
Esuatini,1025.28,18-07-2024
Yemen,1021.24,18-07-2024
Puerto Rico,1020.22,18-07-2024
Tahití,1016.83,18-07-2024
"Hong Kong, China",1011.91,18-07-2024
Nueva Caledonia,1008.92,18-07-2024
Singapur,1008.26,18-07-2024
Vanuatu,1005.49,18-07-2024
Maldivas,1003.48,18-07-2024
Andorra,996.05,18-07-2024
Chinese Taipei,991.34,18-07-2024
Myanmar,988.98,18-07-2024
Cuba,984.92,18-07-2024
Papúa Nueva Guinea,984.23,18-07-2024
Sudán del Sur,980.02,18-07-2024
Santa Lucía,979.57,18-07-2024
Bermudas,971.15,18-07-2024
Malta,970.62,18-07-2024
Granada,953.67,18-07-2024
San Vicente y las Granadinas,938.4,18-07-2024
Nepal,935.93,18-07-2024
Montserrat,934.46,18-07-2024
Barbados,932.64,18-07-2024
Chad,929.97,18-07-2024
Mauricio,927.94,18-07-2024
Camboya,924.52,18-07-2024
Dominica,912.93,18-07-2024
Bután,904.1,18-07-2024
Belice,901.43,18-07-2024
Bangladesh,896.67,18-07-2024
Macao,896.62,18-07-2024
Islas Cook,896.59,18-07-2024
Samoa Estadounidense,890.97,18-07-2024
Laos,889.62,18-07-2024
Mongolia,884.92,18-07-2024
